kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,planet_type
8621026,K07071.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,4.059428737,67.38,1455.0,1059.83,6610.0,1.33,Gas Giant (Jupiter-size)
8624860,K07072.01,Unconfirmed Candidate,CANDIDATE,0.872,15.3902613,4.39,1459.0,1069.24,5649.0,4.994,Neptunian (Ice Giant)
8625408,K07073.01,Unconfirmed Candidate,CANDIDATE,0.951,279.036565,30.25,323.0,2.58,6072.0,1.273,Gas Giant (Jupiter-size)
8690001,K07075.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,19.35954117,101.44,942.0,186.12,6198.0,1.567,Gas Giant (Jupiter-size)
8693536,K07076.01,Unconfirmed Candidate,CANDIDATE,0.99,16.2347636,1.28,852.0,124.25,6478.0,1.188,Super-Earth
9597854,K07201.01,Unconfirmed Candidate,FALSE POSITIVE,0.128,1.287097944,0.89,1631.0,1678.58,5906.0,0.852,Terrestrial (Earth-size)
9602431,K07202.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.5565617,0.52,883.0,143.89,4964.0,0.633,Terrestrial (Earth-size)
9602538,K07203.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.55646511,0.56,1076.0,317.0,5475.0,0.818,Terrestrial (Earth-size)
9630640,K07204.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.661895766,374.78,1708.0,2012.26,6793.0,1.589,Gas Giant (Jupiter-size)
9635520,K07205.01,Unconfirmed Candidate,CANDIDATE,0.779,2.3518268,39.82,1535.0,1313.37,5445.0,1.426,Gas Giant (Jupiter-size)
9635529,K07206.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.35195525,59.62,1678.0,1876.0,6550.0,1.225,Gas Giant (Jupiter-size)
9637299,K07207.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.882438182,74.77,1818.0,2589.75,6322.0,1.213,Gas Giant (Jupiter-size)
9640123,K07209.01,Unconfirmed Candidate,CANDIDATE,0.991,8.2553499,3.28,1462.0,1079.27,5403.0,3.6,Neptunian (Ice Giant)
10490960,K07335.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.682410334,72.9,1141.0,401.43,5897.0,1.196,Gas Giant (Jupiter-size)
10491031,K07336.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.199069234,118.99,2104.0,4632.97,6613.0,1.925,Gas Giant (Jupiter-size)
10535807,K07337.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.481655821,59.19,1935.0,3314.58,6478.0,1.174,Gas Giant (Jupiter-size)
10535858,K07338.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.93370968,0.38,865.0,131.85,3615.0,0.42,Terrestrial (Earth-size)
10546063,K07339.01,Unconfirmed Candidate,CANDIDATE,1.0,10.6982275,1.73,919.0,168.88,6277.0,1.097,Super-Earth
10547685,K07340.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.388509353,52.43,1836.0,2679.88,6075.0,1.13,Gas Giant (Jupiter-size)
10549576,K07341.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,9.089355023,68.91,1511.0,1233.59,7675.0,2.015,Gas Giant (Jupiter-size)
10552700,K07342.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.94808587,37.72,3359.0,30040.23,6875.0,2.856,Gas Giant (Jupiter-size)
11619964,K07466.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,10.36855269,61.14,845.0,120.48,5855.0,0.944,Gas Giant (Jupiter-size)
11651105,K07468.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,13.8602646,19.71,690.0,53.56,5667.0,0.796,Gas Giant (Jupiter-size)
11662440,K07469.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,13.63948043,44.0,680.0,50.51,5461.0,0.846,Gas Giant (Jupiter-size)
11672354,K07471.01,Unconfirmed Candidate,CANDIDATE,0.953,5.29655591,1.3,1156.0,421.14,6268.0,1.1,Super-Earth
11704044,K07472.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,6.882686062,60.49,921.0,169.85,5704.0,0.948,Gas Giant (Jupiter-size)
11706658,K07473.01,Unconfirmed Candidate,FALSE POSITIVE,0.054,1.407937865,19.09,1179.0,457.02,4627.0,0.741,Gas Giant (Jupiter-size)
2708445,K06288.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.89117723,164.49,3536.0,36995.02,5086.0,6.86,Gas Giant (Jupiter-size)
2708614,K06289.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,52.884577,48.13,555.0,22.44,6483.0,1.078,Gas Giant (Jupiter-size)
2711114,K06290.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.429439352,54.36,2079.0,4417.56,6491.0,1.371,Gas Giant (Jupiter-size)
2720354,K06292.01,Unconfirmed Candidate,FALSE POSITIVE,0.007,2.821328194,40.0,1807.0,2520.03,6701.0,1.506,Gas Giant (Jupiter-size)
2834463,K06293.01,Unconfirmed Candidate,CANDIDATE,0.794,5.88836941,1.21,1125.0,379.27,6243.0,1.084,Terrestrial (Earth-size)
2852560,K06294.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,11.9613085,51.58,696.0,55.37,5564.0,0.785,Gas Giant (Jupiter-size)
2856960,K06295.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,204.280255,8.99,236.0,0.73,4907.0,0.727,Gas Giant (Jupiter-size)
4484356,K06420.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.572079631,29.45,1716.0,2036.56,5233.0,0.639,Gas Giant (Jupiter-size)
4489844,K06421.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.822314545,0.54,1922.0,3227.02,5709.0,0.938,Terrestrial (Earth-size)
4540632,K06422.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,31.00539285,141.82,682.0,51.25,5023.0,1.784,Gas Giant (Jupiter-size)
4544623,K06423.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.189097,13.92,647.0,41.37,3624.0,0.406,Gas Giant (Jupiter-size)
4565985,K06424.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,17.51191534,52.64,2246.0,6014.16,4029.0,20.888,Gas Giant (Jupiter-size)
4569590,K06426.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,41.3701638,59.95,1133.0,389.15,4764.0,6.883,Gas Giant (Jupiter-size)
4574310,K06427.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.306220168,83.16,2095.0,4556.14,6600.0,1.124,Gas Giant (Jupiter-size)
5216727,K06543.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.756511623,77.4,2549.0,9947.96,6343.0,1.417,Gas Giant (Jupiter-size)
5218014,K06544.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,10.84528655,319.52,1682.0,1893.11,5096.0,7.023,Gas Giant (Jupiter-size)
5255552,K06545.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,32.45541269,23.48,392.0,5.55,4869.0,0.543,Gas Giant (Jupiter-size)
5263167,K06546.01,Unconfirmed Candidate,CANDIDATE,0.783,3.39401963,1.03,1306.0,689.16,6181.0,1.029,Terrestrial (Earth-size)
5266937,K06547.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.917085496,75.86,1005.0,241.42,5661.0,0.987,Gas Giant (Jupiter-size)
5269407,K06548.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.958871144,45.91,1743.0,2174.51,5530.0,0.892,Gas Giant (Jupiter-size)
5272571,K06550.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.288046428,2.18,2945.0,17822.99,5216.0,3.871,Neptunian (Ice Giant)
6228703,K06678.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,4.200206781,105.07,1737.0,2150.58,6873.0,1.923,Gas Giant (Jupiter-size)
6231401,K06679.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,6.091954982,26.96,1036.0,272.7,6063.0,0.913,Gas Giant (Jupiter-size)
6265961,K06680.01,Unconfirmed Candidate,CANDIDATE,0.913,5.52507406,0.8,1028.0,263.79,5600.0,1.037,Terrestrial (Earth-size)
6283224,K06682.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.76647343,42.33,1628.0,1654.36,5297.0,0.722,Gas Giant (Jupiter-size)
6285094,K06683.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2439783,1.03,1068.0,307.32,6029.0,0.956,Terrestrial (Earth-size)
6285396,K06684.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2436639,0.88,1059.0,296.41,6212.0,0.862,Terrestrial (Earth-size)
6285397,K06685.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2438269,0.76,743.0,72.18,4634.0,0.689,Terrestrial (Earth-size)
7033713,K06813.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.19642864,0.79,1193.0,477.24,5376.0,0.806,Terrestrial (Earth-size)
7033748,K06814.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.19635512,82.04,1793.0,2448.43,6438.0,1.273,Gas Giant (Jupiter-size)
7049486,K06815.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,26.71841755,66.69,727.0,65.88,5957.0,1.286,Gas Giant (Jupiter-size)
7097571,K06818.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.213964145,57.06,1891.0,3030.64,6256.0,1.514,Gas Giant (Jupiter-size)
7970629,K06942.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.025534511,43.68,1896.0,3066.26,6267.0,0.919,Gas Giant (Jupiter-size)
7970760,K06943.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,7.64941291,53.4,1050.0,287.83,6387.0,1.076,Gas Giant (Jupiter-size)
7971389,K06944.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,13.17480793,51.06,811.0,102.2,6067.0,0.997,Gas Giant (Jupiter-size)
7976136,K06945.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.655094658,26.41,2173.0,5290.98,6063.0,1.012,Gas Giant (Jupiter-size)
7985167,K06947.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.692239369,67.05,2594.0,10725.15,6163.0,1.358,Gas Giant (Jupiter-size)
